Frequency (Hz)	Level (dB)
20068.945313	-135.988281
20155.078125	-139.425095
20241.210938	-142.117310
20327.343750	-146.878922
20413.476563	-152.241806
20499.609375	-156.515228
20585.742188	-157.269592
20671.875000	-156.187012
20758.007813	-156.280167
20844.140625	-154.545044
20930.273438	-149.140411
21016.406250	-147.599670
21102.539063	-145.401657
21188.671875	-144.070984
21274.804688	-141.562439
21360.937500	-137.757339
21447.070313	-139.665237
21533.203125	-139.622314
21619.335938	-140.375824
21705.468750	-146.366791
21791.601563	-149.876938
21877.734375	-155.460037
21963.867188	-157.502243
