Frequency (Hz)	Level (dB)
14900.976563	-70.791901
14987.109375	-70.587646
15073.242188	-66.032654
15159.375000	-66.583023
15245.507813	-72.485588
15331.640625	-73.317780
15417.773438	-76.629944
15503.906250	-85.769112
15590.039063	-101.345490
15676.171875	-114.871254
15762.304688	-120.938782
15848.437500	-126.227013
15934.570313	-129.700974
16020.703125	-133.271515
16106.835938	-136.928604
16192.968750	-139.613892
16279.101563	-141.555008
16365.234375	-141.227371
16451.367188	-138.486801
16537.500000	-141.283478
16623.632813	-141.936462
16709.765625	-144.515717
16795.898438	-150.025192
16882.031250	-150.496429
16968.164063	-151.440353
17054.296875	-151.821762
17140.429688	-152.231934
17226.562500	-152.619232
17312.695313	-151.586914
17398.828125	-152.595093
17484.960938	-155.289917
17571.093750	-155.513489
17657.226563	-152.266251
17743.359375	-145.787216
17829.492188	-139.760910
17915.625000	-142.111710
18001.757813	-147.314438
18087.890625	-149.703369
18174.023438	-153.489532
18260.156250	-158.470184
18346.289063	-158.716629
18432.421875	-157.348099
18518.554688	-155.103165
18604.687500	-155.801102
18690.820313	-159.152588
18776.953125	-156.885788
18863.085938	-153.681610
18949.218750	-154.358521
19035.351563	-152.652618
19121.484375	-146.299896
19207.617188	-143.097549
19293.750000	-143.598145
19379.882813	-139.488327
19466.015625	-140.609772
19552.148438	-150.575134
19638.281250	-155.055115
19724.414063	-153.006912
19810.546875	-155.163391
19896.679688	-158.500961
19982.812500	-159.705444
20068.945313	-160.036713
20155.078125	-158.653976
20241.210938	-158.066177
20327.343750	-158.940720
20413.476563	-155.412903
20499.609375	-147.510574
20585.742188	-142.577637
20671.875000	-144.036530
20758.007813	-147.430313
20844.140625	-150.323074
20930.273438	-151.120316
21016.406250	-157.292984
21102.539063	-159.903595
21188.671875	-160.135254
21274.804688	-155.229233
21360.937500	-153.559387
21447.070313	-155.924484
21533.203125	-156.440811
21619.335938	-155.993286
21705.468750	-154.903015
21791.601563	-150.413345
21877.734375	-145.451706
21963.867188	-143.388351
