Frequency (Hz)	Level (dB)
86.132813	-73.925079
172.265625	-71.476456
258.398438	-71.352585
344.531250	-73.800804
430.664063	-73.896889
516.796875	-73.232758
602.929688	-75.086044
689.062500	-77.007141
775.195313	-77.552322
861.328125	-77.846336
947.460938	-79.336662
1033.593750	-78.825058
1119.726563	-78.579964
1205.859375	-80.453781
1291.992188	-80.755737
1378.125000	-81.414551
1464.257813	-81.766808
1550.390625	-80.506538
1636.523438	-80.744431
1722.656250	-81.652313
1808.789063	-83.650314
1894.921875	-82.706207
1981.054688	-81.677391
2067.187500	-81.584290
2153.320313	-81.264282
2239.453125	-80.476364
2325.585938	-80.393341
2411.718750	-81.343544
2497.851563	-79.609100
2583.984375	-76.726563
2670.117188	-75.209961
2756.250000	-75.010902
2842.382813	-74.550339
2928.515625	-73.518585
3014.648438	-73.054710
3100.781250	-73.415939
3186.914063	-73.401733
3273.046875	-72.283226
3359.179688	-72.554344
3445.312500	-74.173637
3531.445313	-70.335518
3617.578125	-62.580372
3703.710938	-57.032532
3789.843750	-49.890053
3875.976563	-41.516296
3962.109375	-31.979212
4048.242188	-29.240551
4134.375000	-33.373241
4220.507813	-41.790985
4306.640625	-53.562519
4392.773438	-60.567253
4478.906250	-61.464310
4565.039063	-62.287815
4651.171875	-63.028084
4737.304688	-64.288826
4823.437500	-65.340927
4909.570313	-64.004501
4995.703125	-63.111259
5081.835938	-59.751816
5167.968750	-57.681946
5254.101563	-55.560913
5340.234375	-51.707085
5426.367188	-48.255203
5512.500000	-49.813721
5598.632813	-49.573936
5684.765625	-45.866188
5770.898438	-46.328403
5857.031250	-47.802567
5943.164063	-45.192406
6029.296875	-43.783287
6115.429688	-45.406792
6201.562500	-47.102249
6287.695313	-49.601604
6373.828125	-54.509876
6459.960938	-59.751129
6546.093750	-64.097778
6632.226563	-68.297295
6718.359375	-69.943756
6804.492188	-69.214584
6890.625000	-69.915558
6976.757813	-70.050636
7062.890625	-69.735100
7149.023438	-69.555405
7235.156250	-70.432625
7321.289063	-71.436203
7407.421875	-70.711143
7493.554688	-70.649010
7579.687500	-69.251427
7665.820313	-68.180878
7751.953125	-66.038460
7838.085938	-61.425690
7924.218750	-57.706570
8010.351563	-57.233658
8096.484375	-58.200005
8182.617188	-60.440956
8268.750000	-65.291740
8354.882813	-67.162872
8441.015625	-69.012375
8527.148438	-70.304573
8613.281250	-71.525337
8699.414063	-71.558624
8785.546875	-71.895668
8871.679688	-72.236969
8957.812500	-72.350586
9043.945313	-72.288445
9130.078125	-70.675552
9216.210938	-71.005516
9302.343750	-70.994583
9388.476563	-70.740601
9474.609375	-71.547867
9560.742188	-70.906197
9646.875000	-69.801682
9733.007813	-70.379921
9819.140625	-72.257484
9905.273438	-73.014084
9991.406250	-73.804688
10077.539063	-78.886818
10163.671875	-84.032272
10249.804688	-93.918846
10335.937500	-90.505684
10422.070313	-82.773087
10508.203125	-82.559685
10594.335938	-90.905579
10680.468750	-96.053528
10766.601563	-87.122925
10852.734375	-88.578735
10938.867188	-95.304741
11025.000000	-89.665848
11111.132813	-84.603027
11197.265625	-83.196831
11283.398438	-83.159195
11369.531250	-86.618790
11455.664063	-86.013237
11541.796875	-82.656593
11627.929688	-81.340034
11714.062500	-81.180130
11800.195313	-81.633507
11886.328125	-79.310326
11972.460938	-79.116608
12058.593750	-77.789185
12144.726563	-79.290794
12230.859375	-82.285515
12316.992188	-81.178894
12403.125000	-77.882973
12489.257813	-75.795044
12575.390625	-75.015991
12661.523438	-74.846443
12747.656250	-73.834229
12833.789063	-73.210320
12919.921875	-72.912521
13006.054688	-72.552330
13092.187500	-71.002365
13178.320313	-70.387764
13264.453125	-69.248756
13350.585938	-69.837242
13436.718750	-69.586258
13522.851563	-68.843658
13608.984375	-68.802635
13695.117188	-67.605064
13781.250000	-70.188560
13867.382813	-71.304321
13953.515625	-70.912270
14039.648438	-71.411148
14125.781250	-70.679237
14211.914063	-69.898216
14298.046875	-68.355087
14384.179688	-69.118065
14470.312500	-69.456017
14556.445313	-68.666092
14642.578125	-70.093849
14728.710938	-69.483810
14814.843750	-69.934860
