Frequency (Hz)	Level (dB)
9388.476563	-70.680931
9474.609375	-70.794121
9560.742188	-70.544563
9646.875000	-70.331161
9733.007813	-70.002571
9819.140625	-70.119583
9905.273438	-70.096466
9991.406250	-70.277580
10077.539063	-70.193054
10163.671875	-70.664604
10249.804688	-71.104782
10335.937500	-71.396515
10422.070313	-71.607086
10508.203125	-71.839439
10594.335938	-71.978264
10680.468750	-72.206871
10766.601563	-72.479248
10852.734375	-72.747803
10938.867188	-72.918419
11025.000000	-73.338814
11111.132813	-73.686485
11197.265625	-73.455864
11283.398438	-72.975121
11369.531250	-72.863838
11455.664063	-73.031082
11541.796875	-72.664513
11627.929688	-72.811249
11714.062500	-72.950760
11800.195313	-73.373993
11886.328125	-73.816452
11972.460938	-73.818817
12058.593750	-73.895325
12144.726563	-74.343941
12230.859375	-74.920135
12316.992188	-74.809181
12403.125000	-75.100906
12489.257813	-75.277603
12575.390625	-75.063141
12661.523438	-75.128372
12747.656250	-75.391220
12833.789063	-75.588356
12919.921875	-75.734383
13006.054688	-76.020233
13092.187500	-76.320526
13178.320313	-76.465210
13264.453125	-76.391083
13350.585938	-76.448853
13436.718750	-76.440262
13522.851563	-76.715889
13608.984375	-76.856735
13695.117188	-76.719246
13781.250000	-76.547272
13867.382813	-76.379860
13953.515625	-76.306992
14039.648438	-76.366272
14125.781250	-76.400032
14211.914063	-76.430679
14298.046875	-76.502205
14384.179688	-76.567482
14470.312500	-76.659630
14556.445313	-76.681587
14642.578125	-76.800369
14728.710938	-76.771286
14814.843750	-76.750839
14900.976563	-76.665543
14987.109375	-77.029892
15073.242188	-77.597374
15159.375000	-78.058723
15245.507813	-78.552902
15331.640625	-78.728882
15417.773438	-78.724182
15503.906250	-78.752045
15590.039063	-78.850227
15676.171875	-79.424744
15762.304688	-83.662437
15848.437500	-95.993851
15934.570313	-107.667961
16020.703125	-108.262924
16106.835938	-114.700836
16192.968750	-126.112335
16279.101563	-133.547546
16365.234375	-136.584244
16451.367188	-138.869705
16537.500000	-140.630112
16623.632813	-144.323746
16709.765625	-142.613129
16795.898438	-144.003922
16882.031250	-145.653030
16968.164063	-144.155121
17054.296875	-146.590805
17140.429688	-146.478027
17226.562500	-145.789749
17312.695313	-147.480621
17398.828125	-145.625992
17484.960938	-145.750214
17571.093750	-147.033096
17657.226563	-146.530716
17743.359375	-145.527939
17829.492188	-144.933624
17915.625000	-144.607376
18001.757813	-145.884521
18087.890625	-143.470764
18174.023438	-141.762573
18260.156250	-141.881760
18346.289063	-146.267578
18432.421875	-146.387497
18518.554688	-143.852936
18604.687500	-145.462265
18690.820313	-145.967651
18776.953125	-146.121902
18863.085938	-145.010071
18949.218750	-142.526382
19035.351563	-145.598328
19121.484375	-147.678802
19207.617188	-143.990479
19293.750000	-144.609421
19379.882813	-146.310638
19466.015625	-146.996628
19552.148438	-145.994507
19638.281250	-145.269699
19724.414063	-147.453873
19810.546875	-148.661758
19896.679688	-146.098862
19982.812500	-146.291641
20068.945313	-144.652603
20155.078125	-144.091415
20241.210938	-145.782684
20327.343750	-144.045197
20413.476563	-143.302460
20499.609375	-145.116745
20585.742188	-146.549271
20671.875000	-145.922165
20758.007813	-143.050064
20844.140625	-139.927353
20930.273438	-141.623276
21016.406250	-144.765762
21102.539063	-147.387695
21188.671875	-148.332413
21274.804688	-147.680176
21360.937500	-147.324417
21447.070313	-146.787781
21533.203125	-144.237869
21619.335938	-144.739059
21705.468750	-143.957474
21791.601563	-141.916138
21877.734375	-144.811432
21963.867188	-147.423035
