Frequency (Hz)	Level (dB)
86.132813	-82.662064
172.265625	-79.315445
258.398438	-75.615921
344.531250	-71.403610
430.664063	-67.754684
516.796875	-65.850365
602.929688	-64.503082
689.062500	-64.199654
775.195313	-64.051041
861.328125	-63.572403
947.460938	-63.662601
1033.593750	-62.703270
1119.726563	-60.972630
1205.859375	-59.512768
1291.992188	-55.508514
1378.125000	-50.094482
1464.257813	-45.563839
1550.390625	-44.250851
1636.523438	-44.956467
1722.656250	-43.169426
1808.789063	-40.938553
1894.921875	-39.353237
1981.054688	-39.386101
2067.187500	-40.548656
2153.320313	-39.416279
2239.453125	-38.482456
2325.585938	-36.778362
2411.718750	-33.786125
2497.851563	-32.093380
2583.984375	-32.083012
2670.117188	-33.774284
2756.250000	-36.119305
2842.382813	-39.013851
2928.515625	-39.341408
3014.648438	-38.098400
3100.781250	-37.699654
3186.914063	-37.922268
3273.046875	-36.218300
3359.179688	-36.175289
3445.312500	-39.317326
3531.445313	-44.280033
3617.578125	-48.296921
3703.710938	-50.058506
3789.843750	-50.577312
3875.976563	-51.314610
3962.109375	-50.681633
4048.242188	-52.813831
4134.375000	-57.337574
4220.507813	-58.045418
4306.640625	-57.431355
4392.773438	-56.477077
4478.906250	-54.949654
4565.039063	-54.351513
4651.171875	-54.135876
4737.304688	-54.465504
4823.437500	-55.108250
4909.570313	-56.876953
4995.703125	-58.149593
5081.835938	-57.581249
5167.968750	-55.189552
5254.101563	-54.050293
5340.234375	-53.298279
5426.367188	-53.257751
5512.500000	-55.054501
5598.632813	-57.097599
5684.765625	-58.390144
5770.898438	-59.384640
5857.031250	-60.582844
5943.164063	-61.095169
6029.296875	-60.745651
6115.429688	-61.893921
6201.562500	-63.149899
6287.695313	-62.776085
6373.828125	-63.580574
6459.960938	-63.786022
6546.093750	-62.484081
6632.226563	-61.300793
6718.359375	-61.275665
6804.492188	-61.230160
6890.625000	-60.580811
6976.757813	-59.828945
7062.890625	-59.928043
7149.023438	-61.302845
7235.156250	-61.656181
7321.289063	-61.677376
7407.421875	-62.030830
7493.554688	-62.555763
7579.687500	-63.865551
7665.820313	-65.438828
7751.953125	-66.179688
7838.085938	-66.913918
7924.218750	-67.021553
8010.351563	-67.264969
8096.484375	-67.866386
8182.617188	-68.685028
8268.750000	-68.787895
8354.882813	-69.308876
8441.015625	-70.182747
8527.148438	-70.052818
8613.281250	-69.763977
8699.414063	-69.781349
8785.546875	-69.720436
8871.679688	-70.240341
8957.812500	-69.939125
9043.945313	-69.585213
9130.078125	-69.694221
9216.210938	-69.603699
9302.343750	-70.057289
