Frequency (Hz)	Level (dB)
16709.765625	-137.853546
16795.898438	-137.958481
16882.031250	-137.574478
16968.164063	-138.930969
17054.296875	-139.099258
17140.429688	-135.787094
17226.562500	-137.637436
17312.695313	-140.066940
17398.828125	-140.428146
17484.960938	-138.368225
17571.093750	-137.180923
17657.226563	-138.172668
17743.359375	-139.157394
17829.492188	-136.014771
17915.625000	-134.656815
18001.757813	-134.569244
18087.890625	-134.476395
18174.023438	-136.728653
18260.156250	-137.622238
18346.289063	-137.663681
18432.421875	-139.996185
18518.554688	-140.878067
18604.687500	-137.152145
18690.820313	-137.554657
18776.953125	-137.311279
18863.085938	-138.640198
18949.218750	-139.363647
19035.351563	-139.067307
19121.484375	-138.714142
19207.617188	-135.163406
19293.750000	-133.310165
19379.882813	-135.956985
19466.015625	-137.289703
19552.148438	-137.223053
19638.281250	-139.326920
19724.414063	-142.070587
19810.546875	-142.962265
19896.679688	-141.285660
19982.812500	-138.906677
20068.945313	-139.783600
20155.078125	-139.170990
20241.210938	-135.951035
20327.343750	-136.137253
20413.476563	-138.659729
20499.609375	-139.190781
20585.742188	-135.546188
20671.875000	-132.849808
20758.007813	-132.358673
20844.140625	-136.961792
20930.273438	-136.987350
21016.406250	-135.863876
21102.539063	-138.461807
21188.671875	-140.600861
21274.804688	-139.827896
21360.937500	-138.662903
21447.070313	-140.236969
21533.203125	-142.568054
21619.335938	-140.160034
21705.468750	-139.790237
21791.601563	-138.314117
21877.734375	-138.161392
21963.867188	-140.723450
