Frequency (Hz)	Level (dB)
86.132813	-68.684196
172.265625	-70.289192
258.398438	-74.813904
344.531250	-75.653702
430.664063	-73.335197
516.796875	-68.839310
602.929688	-66.215942
689.062500	-64.196960
775.195313	-62.788040
861.328125	-64.053146
947.460938	-64.713768
1033.593750	-64.126259
1119.726563	-65.518311
1205.859375	-64.317184
1291.992188	-59.063251
1378.125000	-56.927849
1464.257813	-57.478180
1550.390625	-59.092144
1636.523438	-61.119045
1722.656250	-62.403984
1808.789063	-59.210335
1894.921875	-54.214176
1981.054688	-48.543705
2067.187500	-43.559605
2153.320313	-40.694450
2239.453125	-38.775787
2325.585938	-40.091633
2411.718750	-39.227711
2497.851563	-37.345749
2583.984375	-36.970585
2670.117188	-37.495358
2756.250000	-37.712204
2842.382813	-39.335869
2928.515625	-40.184361
3014.648438	-38.590614
3100.781250	-36.942253
3186.914063	-36.659882
3273.046875	-38.051460
3359.179688	-39.172672
3445.312500	-40.088978
3531.445313	-39.542053
3617.578125	-36.563004
3703.710938	-34.768044
3789.843750	-33.694496
3875.976563	-33.005787
3962.109375	-31.684172
4048.242188	-28.324131
4134.375000	-25.665020
4220.507813	-24.965265
4306.640625	-25.959316
4392.773438	-28.183846
4478.906250	-29.178593
4565.039063	-29.119158
4651.171875	-29.859207
4737.304688	-29.203949
4823.437500	-29.295332
4909.570313	-31.249304
4995.703125	-33.205147
5081.835938	-33.682556
5167.968750	-32.331932
5254.101563	-33.545773
5340.234375	-36.840252
5426.367188	-38.379646
5512.500000	-38.360653
5598.632813	-41.046394
5684.765625	-42.614815
5770.898438	-41.351383
5857.031250	-41.429482
5943.164063	-42.002846
6029.296875	-42.638908
6115.429688	-42.066898
6201.562500	-41.825752
6287.695313	-41.477093
6373.828125	-43.456226
6459.960938	-46.444180
6546.093750	-50.716385
6632.226563	-52.137543
6718.359375	-51.067322
6804.492188	-53.592304
6890.625000	-54.908363
6976.757813	-54.621330
7062.890625	-57.493286
7149.023438	-63.995068
7235.156250	-71.450684
7321.289063	-68.274467
7407.421875	-65.832893
7493.554688	-64.972687
7579.687500	-63.345356
7665.820313	-62.714943
7751.953125	-63.654747
7838.085938	-63.208408
7924.218750	-63.489204
8010.351563	-62.874065
8096.484375	-61.311104
8182.617188	-62.177605
8268.750000	-63.616249
8354.882813	-63.296741
8441.015625	-65.435684
8527.148438	-65.508560
8613.281250	-64.628342
8699.414063	-63.732216
8785.546875	-64.683556
8871.679688	-64.272125
8957.812500	-63.039429
9043.945313	-63.991535
9130.078125	-65.583313
9216.210938	-62.462986
9302.343750	-62.626495
9388.476563	-66.467934
9474.609375	-69.359383
9560.742188	-69.783173
9646.875000	-75.385139
9733.007813	-75.790962
9819.140625	-68.869934
9905.273438	-68.605247
9991.406250	-66.563622
10077.539063	-64.702408
10163.671875	-61.062004
10249.804688	-57.737354
10335.937500	-57.917645
10422.070313	-56.157299
10508.203125	-54.501904
10594.335938	-54.890133
10680.468750	-53.923851
10766.601563	-51.660690
10852.734375	-52.354080
10938.867188	-53.436005
11025.000000	-54.711544
11111.132813	-54.042919
11197.265625	-53.766838
11283.398438	-54.019814
11369.531250	-55.562862
11455.664063	-56.467514
11541.796875	-55.997139
11627.929688	-56.196209
11714.062500	-55.359642
11800.195313	-55.140644
11886.328125	-55.874950
11972.460938	-56.079834
12058.593750	-54.591747
12144.726563	-53.892887
12230.859375	-54.856533
12316.992188	-54.207245
12403.125000	-52.410248
12489.257813	-54.450207
12575.390625	-54.945297
12661.523438	-54.605782
12747.656250	-55.499180
12833.789063	-56.556202
12919.921875	-55.021465
13006.054688	-57.242226
13092.187500	-57.347763
13178.320313	-58.751328
13264.453125	-60.477150
13350.585938	-59.751240
13436.718750	-59.502151
13522.851563	-59.750393
13608.984375	-60.722195
13695.117188	-61.888771
13781.250000	-61.812695
13867.382813	-60.692478
13953.515625	-60.054535
14039.648438	-61.340992
14125.781250	-64.023430
14211.914063	-62.763691
14298.046875	-62.608360
14384.179688	-64.622261
14470.312500	-66.027634
14556.445313	-65.466309
14642.578125	-64.762001
14728.710938	-61.960220
14814.843750	-62.401577
14900.976563	-67.181160
14987.109375	-65.624222
15073.242188	-62.783543
15159.375000	-63.260986
15245.507813	-65.265373
15331.640625	-67.484047
15417.773438	-71.082840
15503.906250	-82.404633
15590.039063	-94.749001
15676.171875	-102.829758
15762.304688	-114.898384
15848.437500	-120.071648
15934.570313	-124.742645
16020.703125	-128.258713
16106.835938	-131.427460
16192.968750	-133.090332
16279.101563	-136.056198
16365.234375	-132.778702
16451.367188	-131.965851
16537.500000	-133.620682
16623.632813	-137.700134
