Frequency (Hz)	Level (dB)
86.132813	-69.793411
172.265625	-69.947823
258.398438	-73.260956
344.531250	-75.071411
430.664063	-68.982971
516.796875	-65.624718
602.929688	-65.776527
689.062500	-66.440353
775.195313	-66.812630
861.328125	-66.264793
947.460938	-64.308014
1033.593750	-59.003559
1119.726563	-54.644947
1205.859375	-59.104881
1291.992188	-69.255508
1378.125000	-66.252304
1464.257813	-62.254333
1550.390625	-63.343609
1636.523438	-71.595337
1722.656250	-72.829285
1808.789063	-66.527618
1894.921875	-63.370590
1981.054688	-56.979191
2067.187500	-53.100052
2153.320313	-50.505722
2239.453125	-47.146687
2325.585938	-45.715382
2411.718750	-44.740700
2497.851563	-40.676250
2583.984375	-41.707756
2670.117188	-43.189037
2756.250000	-41.497856
2842.382813	-41.160656
2928.515625	-41.606800
3014.648438	-42.027500
3100.781250	-42.652878
3186.914063	-44.396786
3273.046875	-41.701611
3359.179688	-40.407116
3445.312500	-40.585339
3531.445313	-40.459965
3617.578125	-40.414906
3703.710938	-41.000866
3789.843750	-42.108234
3875.976563	-43.668770
3962.109375	-41.458412
4048.242188	-39.572914
4134.375000	-38.603691
4220.507813	-40.568024
4306.640625	-42.984863
4392.773438	-39.964954
4478.906250	-38.771976
4565.039063	-36.583176
4651.171875	-33.722408
4737.304688	-32.936428
4823.437500	-33.803150
4909.570313	-34.091656
4995.703125	-34.233803
5081.835938	-34.035072
5167.968750	-33.043068
5254.101563	-34.006241
5340.234375	-36.285137
5426.367188	-35.474365
5512.500000	-34.324276
5598.632813	-35.211227
5684.765625	-38.521805
5770.898438	-41.200878
5857.031250	-40.606480
5943.164063	-42.649239
6029.296875	-45.114334
6115.429688	-47.095352
6201.562500	-46.549938
6287.695313	-48.533833
6373.828125	-52.164124
6459.960938	-56.466862
6546.093750	-56.848904
6632.226563	-57.092133
6718.359375	-58.590172
6804.492188	-58.601635
6890.625000	-56.905010
6976.757813	-58.931171
7062.890625	-60.152969
7149.023438	-62.036880
7235.156250	-65.045135
7321.289063	-64.125984
7407.421875	-60.374790
7493.554688	-63.434109
7579.687500	-67.865852
7665.820313	-68.726410
7751.953125	-70.446228
7838.085938	-70.766617
7924.218750	-67.440376
8010.351563	-65.617111
8096.484375	-67.366943
8182.617188	-67.726364
8268.750000	-69.276535
8354.882813	-72.875015
8441.015625	-71.443703
8527.148438	-69.733170
8613.281250	-68.152245
8699.414063	-69.810753
8785.546875	-70.787857
8871.679688	-73.459694
8957.812500	-70.435699
9043.945313	-68.921021
9130.078125	-71.520691
9216.210938	-73.115868
9302.343750	-84.189468
9388.476563	-81.003738
9474.609375	-80.137505
9560.742188	-80.325638
9646.875000	-77.687737
9733.007813	-82.012733
9819.140625	-77.624207
9905.273438	-71.474953
9991.406250	-69.891777
10077.539063	-64.716644
10163.671875	-63.572025
10249.804688	-61.663204
10335.937500	-58.801876
10422.070313	-56.084747
10508.203125	-55.725559
10594.335938	-57.168591
10680.468750	-58.902359
10766.601563	-58.772400
10852.734375	-57.355484
10938.867188	-59.535938
11025.000000	-62.306862
11111.132813	-61.567146
11197.265625	-61.434216
11283.398438	-59.417397
11369.531250	-59.834442
11455.664063	-59.989616
11541.796875	-57.442856
11627.929688	-55.784290
11714.062500	-57.948280
11800.195313	-61.754402
11886.328125	-64.172440
11972.460938	-65.386696
12058.593750	-63.527748
12144.726563	-63.525410
12230.859375	-62.247276
12316.992188	-60.437000
12403.125000	-60.774765
12489.257813	-62.239876
12575.390625	-61.177113
12661.523438	-61.851376
12747.656250	-63.278454
12833.789063	-61.306473
12919.921875	-62.471493
13006.054688	-65.093651
13092.187500	-66.078629
13178.320313	-66.604385
13264.453125	-66.466255
13350.585938	-68.232964
13436.718750	-69.490524
13522.851563	-70.580307
13608.984375	-73.768394
13695.117188	-72.244598
13781.250000	-66.565681
13867.382813	-68.122658
13953.515625	-70.387688
14039.648438	-66.308388
14125.781250	-64.277214
14211.914063	-65.024033
14298.046875	-68.110153
14384.179688	-69.569229
14470.312500	-69.745064
14556.445313	-67.806992
14642.578125	-66.712730
14728.710938	-65.902336
14814.843750	-65.033226
14900.976563	-64.909599
14987.109375	-71.487167
15073.242188	-76.489563
15159.375000	-72.852989
15245.507813	-70.989899
15331.640625	-71.057663
15417.773438	-77.756500
15503.906250	-94.933136
15590.039063	-108.448547
15676.171875	-118.157784
15762.304688	-123.094971
15848.437500	-124.047440
15934.570313	-130.466309
16020.703125	-134.932541
16106.835938	-138.468933
16192.968750	-137.122650
16279.101563	-139.561798
16365.234375	-143.499878
16451.367188	-139.626083
16537.500000	-141.306335
16623.632813	-143.039047
16709.765625	-143.538956
16795.898438	-144.368515
16882.031250	-142.170532
16968.164063	-145.046738
17054.296875	-142.719391
17140.429688	-141.222961
17226.562500	-143.449051
17312.695313	-142.783600
17398.828125	-146.370270
17484.960938	-144.876556
17571.093750	-141.238342
17657.226563	-143.236633
17743.359375	-144.244354
17829.492188	-142.772202
17915.625000	-143.243774
18001.757813	-143.590775
18087.890625	-143.842346
18174.023438	-142.409424
18260.156250	-141.201920
18346.289063	-144.596756
18432.421875	-144.590622
18518.554688	-143.632324
18604.687500	-140.486526
18690.820313	-140.385803
18776.953125	-139.555740
18863.085938	-142.290848
18949.218750	-143.273392
19035.351563	-142.946762
19121.484375	-145.486145
19207.617188	-143.179459
19293.750000	-141.223099
19379.882813	-141.747833
19466.015625	-141.331329
19552.148438	-141.282410
19638.281250	-142.639755
19724.414063	-147.345993
19810.546875	-145.253815
19896.679688	-145.465302
19982.812500	-143.772964
20068.945313	-143.882721
20155.078125	-142.960297
20241.210938	-142.076553
20327.343750	-142.035919
20413.476563	-142.220856
20499.609375	-142.818695
20585.742188	-143.100906
20671.875000	-142.629471
20758.007813	-143.872345
20844.140625	-143.766602
20930.273438	-143.753189
21016.406250	-141.841782
21102.539063	-142.936020
21188.671875	-142.789261
21274.804688	-144.506012
21360.937500	-143.070221
21447.070313	-142.082291
21533.203125	-144.876282
21619.335938	-146.314301
21705.468750	-143.033981
21791.601563	-143.987930
21877.734375	-146.611526
21963.867188	-143.299683
